N,P,K,temperature,humidity,Soil Moisture,rainfall,label,Term
60,49,44,20.77576147,84.49774397,1024,240.0810647,rice,Long-term
84,51,35,22.30157427,80.64416466,1024,197.9791215,rice,Long-term
73,57,41,21.44653958,84.94375962,1024,272.2017204,rice,Long-term
92,35,40,22.17931888,80.33127223,1024,200.0882787,rice,Long-term
85,37,39,24.52783742,82.73685569,1024,224.6757231,rice,Long-term
98,53,38,20.26707606,81.63895217,1024,270.4417274,rice,Long-term
88,54,44,25.7354293,83.88266234,1024,233.1321372,rice,Long-term
95,55,42,26.79533926,82.1480873,1024,193.3473987,rice,Long-term
99,57,35,26.75754171,81.17734011,1024,272.2999056,rice,Long-term
95,39,36,23.86330467,83.15250801,1024,285.2493645,rice,Long-term
60,43,44,21.01944696,82.95221726,1024,298.4018471,rice,Long-term
63,44,41,24.17298839,83.7287574,1024,257.0343554,rice,Long-term
62,42,36,22.78133816,82.06719137,1024,248.7183228,rice,Long-term
64,45,43,25.62980105,83.52842314,1024,209.9001977,rice,Long-term
83,60,36,25.59704938,80.14509262,1024,200.834898,rice,Long-term
82,40,40,23.83067496,84.81360127,1024,298.5601175,rice,Long-term
85,52,45,26.31355498,82.36698992,1024,265.5355937,rice,Long-term
91,35,38,24.8972823,80.52586088,1024,183.6793207,rice,Long-term
76,49,42,24.958779,84.47963372,1024,196.9560008,rice,Long-term
74,39,38,23.24113501,84.59201843,1024,233.0453455,rice,Long-term
79,43,39,21.66628296,80.70960551,1024,210.8142087,rice,Long-term
88,55,45,24.63544858,80.41363018,1024,253.7202781,rice,Long-term
60,36,43,23.43121862,83.06310136,1024,219.9048349,rice,Long-term
76,60,39,20.0454142,80.3477562,1024,208.5810155,rice,Long-term
93,56,42,23.85724032,82.22572988,1024,195.0948311,rice,Long-term
65,60,43,21.97199397,81.89918197,1024,227.3637009,rice,Long-term
95,52,36,26.22916897,83.83625819,1024,286.5083725,rice,Long-term
75,38,39,23.44676801,84.79352417,1024,283.9338466,rice,Long-term
74,54,38,25.65553461,83.47021081,1024,217.3788583,rice,Long-term
91,36,45,24.44345477,82.45432595,1024,267.9761948,rice,Long-term
71,46,40,20.2801937,82.1235421,1024,191.9535738,rice,Long-term
99,55,35,21.7238313,80.2389895,1024,277.9626192,rice,Long-term
72,40,38,20.41447029,82.20802629,1024,245.1511304,rice,Long-term
83,58,45,25.75528612,83.51827127,1024,245.6626799,rice,Long-term
93,58,38,20.61521424,83.77345559,1024,279.5451717,rice,Long-term
70,36,42,21.84106875,80.72886384,1024,202.3838319,rice,Long-term
76,47,42,20.08369642,83.29114712,1024,263.6372176,rice,Long-term
99,41,36,24.45802087,82.74835604,1024,182.5616319,rice,Long-term
99,54,37,21.14347496,80.33502926,1024,198.6730942,rice,Long-term
86,59,35,25.78720567,82.11124033,1024,243.5120414,rice,Long-term
69,46,41,23.64124821,80.28597873,1024,263.1103304,rice,Long-term
91,56,37,23.43191632,80.56887849,1024,269.5039162,rice,Long-term
61,52,41,24.97669518,83.891805,1024,204.8001847,rice,Long-term
67,45,38,22.72791041,82.1706881,1024,260.8875056,rice,Long-term
79,42,37,24.87300744,82.84022551,1024,295.6094492,rice,Long-term
78,43,42,21.32376327,83.00320459,1024,192.3197536,rice,Long-term
75,54,36,26.29465461,84.56919326,1024,257.4914906,rice,Long-term
97,36,45,22.2286982,81.85872947,1024,278.0791793,rice,Long-term
67,47,44,26.73072391,81.78596776,1024,280.4044392,rice,Long-term
73,35,38,24.88921174,81.97927117,1024,185.9461429,rice,Long-term
77,36,37,26.88444878,81.46033732,1024,194.5766559,rice,Long-term
81,41,38,22.67846116,83.72874389,1024,200.9133156,rice,Long-term
68,57,43,26.08867875,80.37979919,1024,182.9043504,rice,Long-term
72,45,35,25.42977518,82.94682591,1024,195.3574542,rice,Long-term
61,53,43,26.40323239,81.05635517,1024,223.3671883,rice,Long-term
67,43,39,26.04371967,84.96907151,1024,186.7536773,rice,Long-term
67,58,39,25.2827223,80.54372813,1024,220.1156708,rice,Long-term
66,60,38,22.08576562,83.47038318,1024,231.7364957,rice,Long-term
82,43,38,23.28617173,81.43321641,1024,242.3170629,rice,Long-term
84,50,44,25.48591986,81.40633547,1024,182.6549356,rice,Long-term
81,53,42,23.67575393,81.03569343,1024,233.7034975,rice,Long-term
91,50,40,20.82477109,84.1341879,1024,230.2242223,rice,Long-term
93,53,38,26.92995077,81.91411159,1024,290.6793783,rice,Long-term
90,44,38,23.83509503,83.88387074,1024,241.2013513,rice,Long-term
81,45,35,26.52872817,80.12267476,1024,218.9163567,rice,Long-term
78,40,38,26.46428311,83.85642678,1024,248.2256491,rice,Long-term
60,51,36,22.69657794,82.81088865,1024,256.9964761,rice,Long-term
88,46,42,22.68319059,83.46358271,1024,194.2651719,rice,Long-term
93,47,37,21.53346343,82.14004101,1024,295.9248796,rice,Long-term
60,55,45,21.40865769,83.3293191,1024,287.5766935,rice,Long-term
78,35,44,26.54348085,84.67353597,1024,183.6222657,rice,Long-term
65,37,40,23.35905428,83.59512273,1024,188.413665,rice,Long-term
71,54,16,22.61359953,63.69070564,1054,87.75953857,maize,Short-term
61,44,17,26.10018422,71.57476937,1050,102.2662445,maize,Short-term
80,43,16,23.55882094,71.59351368,1052,66.71995467,maize,Short-term
73,58,21,19.97215954,57.68272924,1054,60.65171481,maize,Short-term
61,38,20,18.47891261,62.69503871,1054,65.43835393,maize,Short-term
68,41,16,21.77689322,57.80840636,1051,102.0861694,maize,Short-term
93,41,17,25.6217169,66.50415474,1051,105.4654703,maize,Short-term
89,60,19,25.19192419,66.6902901,1051,78.06639649,maize,Short-term
76,44,17,20.41683147,62.5542482,1051,65.27798457,maize,Short-term
67,60,25,24.92162194,66.78627406,1051,109.2162279,maize,Short-term
70,44,19,23.31689124,73.4541537,1051,94.29712821,maize,Short-term
90,49,21,24.84016732,68.3584573,1054,74.05474936,maize,Short-term
62,52,16,22.27526694,58.84015925,1054,63.87020584,maize,Short-term
92,44,16,18.87751445,65.76816093,1054,94.76189431,maize,Short-term
66,54,21,25.19008683,60.2001687,1055,72.12375573,maize,Short-term
63,58,22,18.25405352,55.28220433,1055,63.72358154,maize,Short-term
70,47,17,24.6129118,70.4162444,1055,104.1626147,maize,Short-term
61,41,17,25.1420613,65.26185135,1059,76.68456006,maize,Short-term
66,53,19,23.09348056,60.1159381,1060,65.49730729,maize,Short-term
74,55,19,18.05033737,62.89366992,1060,84.23613484,maize,Short-term
77,57,21,24.9321581,73.80435276,1060,79.74078719,maize,Short-term
99,50,15,18.14710054,71.09445342,1060,88.07753741,maize,Short-term
74,56,22,18.28362235,66.65952796,1060,80.97573281,maize,Short-term
83,45,21,18.83344471,58.75082029,1061,79.7532896,maize,Short-term
100,48,16,25.71895816,67.22190688,1055,74.51490791,maize,Short-term
79,51,16,25.33797709,68.49835977,1055,96.46380213,maize,Short-term
94,39,18,23.89114571,57.48775781,1055,102.8301942,maize,Short-term
75,49,15,21.53574127,71.50905983,1050,102.4852929,maize,Short-term
78,48,22,23.08974909,63.10459626,1050,70.43473609,maize,Short-term
87,54,20,25.61707368,63.4711755,1050,108.8303762,maize,Short-term
87,35,25,21.44526922,63.1621551,1050,65.88951188,maize,Short-term
63,43,19,18.51816776,55.53128131,1050,90.988051,maize,Short-term
84,57,25,22.53510514,67.99257471,1050,64.40866039,maize,Short-term
64,35,23,23.02038334,61.89472002,1054,63.03843397,maize,Short-term
60,46,22,24.89364635,65.61418761,1054,87.9298085,maize,Short-term
98,44,21,25.77175115,74.089114,1054,107.4931917,maize,Short-term
75,56,18,19.39851734,62.35750641,1024,60.95197486,maize,Short-term
86,55,21,21.54156232,59.64024162,1060,109.7515385,maize,Short-term
98,35,18,23.79746068,74.82913698,1060,91.76337172,maize,Short-term
76,57,18,18.9802729,74.52600826,1060,94.26249353,maize,Short-term
99,56,17,24.10859207,73.13112261,1060,71.07562236,maize,Short-term
60,44,23,24.7947077,70.04556743,1060,76.72860067,maize,Short-term
74,48,17,21.63162756,60.27766379,1060,69.21803098,maize,Short-term
89,60,17,25.37548751,57.21025565,1060,101.7004306,maize,Short-term
69,51,23,22.21738222,72.85462807,1054,106.6213157,maize,Short-term
96,46,22,20.58314011,69.00128641,1054,66.29390357,maize,Short-term
61,60,15,24.87502824,68.74248334,1054,91.26056654,maize,Short-term
74,58,18,20.03728219,56.35606753,1054,109.024141,maize,Short-term
74,43,23,25.95263264,61.89082199,1054,99.57981207,maize,Short-term
63,43,17,19.28889933,65.47050802,1054,71.3195307,maize,Short-term
99,36,20,20.57981887,65.34583901,1054,78.34604471,maize,Short-term
77,36,23,24.71417533,56.73426469,1055,88.45361858,maize,Short-term
87,60,23,20.27317074,63.91281869,1055,62.50351892,maize,Short-term
60,38,17,18.41932981,64.23580251,1055,76.41312437,maize,Short-term
94,54,17,23.39128187,61.74427165,1055,107.3198135,maize,Short-term
95,38,22,19.84939404,61.24500053,1055,100.7689246,maize,Short-term
84,44,21,21.869274,61.91044947,1055,107.2681929,maize,Short-term
77,58,19,22.8056033,56.50768935,1055,101.5952794,maize,Short-term
66,44,20,19.0781471,69.02298571,1055,80.72515943,maize,Short-term
63,35,16,22.02720976,65.35549924,1055,83.73280082,maize,Short-term
79,45,20,23.80546189,59.24537979,1055,89.9622014,maize,Short-term
72,60,25,18.52510753,69.0276233,1055,88.10234397,maize,Short-term
67,51,24,23.50297882,61.32026065,1055,64.77791424,maize,Short-term
86,36,24,26.54986394,72.89187265,1055,73.33636055,maize,Short-term
76,48,18,19.29563411,69.63481219,1054,83.21030571,maize,Short-term
75,53,18,20.68899915,59.4375337,1054,103.651438,maize,Short-term
81,45,23,19.32666088,68.034493,1054,84.22969177,maize,Short-term
73,45,21,24.60532218,73.58868502,1054,96.59195302,maize,Short-term
71,35,24,22.27373646,59.52193158,1054,67.96704792,maize,Short-term
96,54,22,25.70196694,61.33450447,1054,83.20711308,maize,Short-term
99,39,18,19.20129357,68.30578978,1054,87.85092352,maize,Short-term
62,48,20,21.70181447,60.47470519,1054,95.71388473,maize,Short-term
86,37,16,20.51716779,59.21235483,1054,67.61013737,maize,Short-term
94,50,19,23.30355338,73.62548442,1050,97.59081274,maize,Short-term
76,39,24,24.2547451,55.64709899,1050,64.23845455,maize,Short-term
77,52,17,24.86374934,65.7420046,1050,75.82270467,maize,Short-term
74,39,23,22.6265115,65.77472881,1050,88.17251033,maize,Short-term
81,49,20,18.04185513,60.61494304,1050,104.2321615,maize,Short-term
63,42,21,23.26237612,72.33125523,1050,67.10225139,maize,Short-term
99,38,21,22.88330922,71.59722446,1050,67.72777298,maize,Short-term
90,52,25,25.97482359,69.36385721,1050,103.2234212,maize,Short-term
68,40,19,26.14384005,66.20569924,1050,107.2361366,maize,Short-term
60,57,24,18.66116213,61.55327249,1050,75.03247667,maize,Short-term
71,52,18,25.10787449,55.97732754,1050,78.16077693,maize,Short-term
61,59,17,23.33844615,59.24580604,1050,105.0083144,maize,Short-term
88,38,15,25.08239719,65.92195844,1055,62.49190812,maize,Short-term
65,60,22,25.36768364,72.52054555,1055,107.9124111,maize,Short-term
78,37,22,25.34217103,63.31801994,1055,74.52082026,maize,Short-term
78,58,15,25.00933355,67.816568,1055,62.91359494,maize,Short-term
92,60,23,18.66746724,71.516474,1055,69.93293255,maize,Short-term
79,59,17,20.37999665,63.73849998,1055,108.5054416,maize,Short-term
91,55,15,18.09300227,72.61024172,1055,78.96159541,maize,Short-term
76,51,18,26.16985907,71.96246617,1056,79.84925393,maize,Short-term
87,48,25,18.65396672,61.37879671,1057,93.62039175,maize,Short-term
71,60,22,26.07470121,59.37147589,1057,85.75692395,maize,Short-term
90,57,24,18.92851916,72.80086137,1057,82.34162918,maize,Short-term
67,35,22,23.30546753,63.24648023,1057,108.7603001,maize,Short-term
60,54,19,18.74826712,62.49878458,1057,70.23401597,maize,Short-term
83,58,23,19.74213321,59.66263104,1057,65.50861389,maize,Short-term
83,57,19,25.73044432,70.74739256,1024,98.73771338,maize,Short-term
40,72,77,17.02498456,16.98861173,1034,88.55123143,chickpea,Short-term
23,72,84,19.02061277,17.13159126,1034,79.92698081,chickpea,Short-term
39,58,85,17.88776475,15.40589717,1030,68.54932919,chickpea,Short-term
22,72,85,18.86805647,15.65809214,1030,88.51048983,chickpea,Short-term
36,67,77,18.36952567,19.56381041,1035,79.26357665,chickpea,Short-term
32,73,81,20.45078582,15.40312102,1036,92.68373702,chickpea,Short-term
58,70,84,20.6543203,16.60820843,1036,74.6631118,chickpea,Short-term
59,70,84,17.3348681,18.74926979,1036,82.61734721,chickpea,Short-term
42,62,75,18.17912258,18.90426935,1036,81.84997529,chickpea,Short-term
28,74,81,18.01272266,18.30968112,1030,81.98568791,chickpea,Short-term
58,66,79,20.99373558,19.33470387,1034,93.55280105,chickpea,Short-term
43,66,79,19.46233971,15.22538951,1034,74.58565097,chickpea,Short-term
58,63,81,19.81344531,14.69765308,1038,78.96514709,chickpea,Short-term
23,62,85,18.97424756,19.5161216,1038,80.7108745,chickpea,Short-term
27,62,77,18.19737048,14.71070537,1038,70.18185181,chickpea,Short-term
28,72,84,18.72963144,19.18197264,1038,71.58010169,chickpea,Short-term
50,56,76,20.99502153,19.8601304,1039,73.50734019,chickpea,Short-term
39,71,84,20.28155898,16.39535215,1039,82.52339655,chickpea,Short-term
25,78,76,17.48042641,15.7559405,1039,66.96980581,chickpea,Short-term
31,70,77,20.88818675,14.32313811,1039,90.46228334,chickpea,Short-term
26,80,83,17.08498521,16.14565756,1039,71.31007253,chickpea,Short-term
25,68,77,20.09340593,15.11279612,1039,85.74904898,chickpea,Short-term
31,78,76,17.57212145,14.99927489,1039,89.31050665,chickpea,Short-term
60,68,83,19.12065218,18.43475844,1040,85.52950164,chickpea,Short-term
59,62,83,18.57665902,19.22008229,1040,72.94940441,chickpea,Short-term
22,67,78,17.16606398,14.42457525,1040,72.32667516,chickpea,Short-term
36,65,80,18.2872007,16.67921616,1040,74.87445574,chickpea,Short-term
59,60,84,19.03025305,18.66725565,1040,94.70992037,chickpea,Short-term
54,77,85,17.1418614,17.0662427,1040,83.74606679,chickpea,Short-term
43,68,81,17.47809436,17.93253975,1040,78.92060234,chickpea,Short-term
28,76,82,20.56601874,14.25803981,1040,83.75937135,chickpea,Short-term
42,79,85,17.22385224,15.82069268,1040,76.57580954,chickpea,Short-term
32,60,83,19.69141713,19.44225438,1040,91.76071648,chickpea,Short-term
22,78,76,17.84851658,19.09172907,1040,76.32470713,chickpea,Short-term
31,79,75,18.8202251,16.1074793,1045,89.73119396,chickpea,Short-term
28,58,81,17.47500984,16.54314829,1045,93.35034262,chickpea,Short-term
57,58,77,18.72649425,17.58406365,1045,81.20176515,chickpea,Short-term
49,55,78,18.65580107,16.17772668,1045,81.70769297,chickpea,Short-term
46,76,77,18.2356751,19.68538502,1045,83.74879344,chickpea,Short-term
54,61,77,18.81198127,15.21618225,1045,77.5429424,chickpea,Short-term
38,60,76,18.65054116,17.80852431,1045,77.92798682,chickpea,Short-term
59,55,79,20.36720401,16.89574311,1045,82.2545577,chickpea,Short-term
36,76,75,18.38120357,16.63805158,1045,70.52056697,chickpea,Short-term
57,68,81,17.17012591,17.30457712,1045,72.78624223,chickpea,Short-term
35,66,81,19.37101121,15.77458129,1045,85.24819851,chickpea,Short-term
35,64,78,17.92845928,14.27327988,1045,85.37378769,chickpea,Short-term
52,60,79,19.45339934,18.23490739,1045,75.6317566,chickpea,Short-term
27,76,83,19.12829388,14.92241479,1045,89.61857826,chickpea,Short-term
57,60,84,19.1034283,17.26184541,1045,75.49101167,chickpea,Short-term
52,68,78,17.48504075,16.96070581,1045,86.05078037,chickpea,Short-term
43,79,79,19.40751744,18.98030507,1045,80.25064637,chickpea,Short-term
44,74,85,20.18649426,19.63719995,1045,78.26039559,chickpea,Short-term
24,55,78,17.30287885,15.15405941,1045,75.57790384,chickpea,Short-term
29,77,75,17.50361137,15.48083156,1045,72.9446671,chickpea,Short-term
20,60,78,18.17234999,14.70085967,1045,90.7760707,chickpea,Short-term
56,67,78,17.57445618,16.71826572,1040,77.81891424,chickpea,Short-term
37,66,85,20.93175255,18.91295403,1040,78.06910795,chickpea,Short-term
49,71,76,19.71098332,17.63879418,1040,85.57925437,chickpea,Short-term
59,69,80,19.07937684,17.86754927,1040,69.40619137,chickpea,Short-term
20,79,77,18.54988627,16.02542689,1040,76.32565249,chickpea,Short-term
24,56,85,18.19903647,17.41333199,1040,80.6405403,chickpea,Short-term
51,72,75,18.88852533,14.99451145,1040,80.1113384,chickpea,Short-term
57,73,85,18.49311205,14.72115044,1040,91.94595352,chickpea,Short-term
22,64,82,19.48974337,17.17260319,1040,87.51312796,chickpea,Short-term
52,73,79,17.25769499,18.74943955,1040,94.00287214,chickpea,Short-term
29,75,75,19.62416326,18.71483156,1040,88.4585692,chickpea,Short-term
44,59,78,20.67526473,19.85388984,1040,84.78344008,chickpea,Short-term
41,69,82,20.02381489,16.63294455,1040,68.97806542,chickpea,Short-term
52,56,85,20.1187446,14.44228303,1040,88.68168643,chickpea,Short-term
34,76,80,20.65691793,15.84572566,1040,65.23811143,chickpea,Short-term
42,74,83,19.2582557,14.2804191,1040,65.78042032,chickpea,Short-term
34,71,79,17.927806,15.85622899,1040,74.63872762,chickpea,Short-term
27,73,79,19.16288268,15.83500655,1040,82.69766829,chickpea,Short-term
30,70,79,20.26942271,19.96978871,1040,69.64449182,chickpea,Short-term
57,57,75,17.09104223,18.25142068,1040,87.27444866,chickpea,Short-term
27,79,82,17.06579293,17.54024066,1040,70.87150577,chickpea,Short-term
32,71,85,20.62767492,14.44008871,1040,92.06630306,chickpea,Short-term
31,76,82,20.8248451,17.85057083,1040,79.20509212,chickpea,Short-term
33,75,84,19.46210401,18.72831993,1040,68.81405149,chickpea,Short-term
47,80,77,17.18248372,16.42891834,1040,72.85017344,chickpea,Short-term
54,62,80,17.48911699,16.39055394,1040,79.45758333,chickpea,Short-term
47,79,78,17.48395377,14.76014523,1040,65.11365631,chickpea,Short-term
35,57,83,19.48316794,17.44534641,1040,80.4986291,chickpea,Short-term
53,73,77,19.71359733,18.09665739,1040,73.64476535,chickpea,Short-term
45,61,78,19.48649305,16.06240074,1040,81.5284269,chickpea,Short-term
37,78,79,19.95264829,14.82633099,1040,88.6810311,chickpea,Short-term
30,75,81,19.41789736,16.80472243,1040,68.4951189,chickpea,Short-term
37,55,82,19.45591848,18.02235902,1040,78.44910564,chickpea,Short-term
53,65,76,20.19137759,16.41998269,1040,77.33795356,chickpea,Short-term
22,60,85,18.8392908,14.74071856,1040,94.78189594,chickpea,Short-term
60,61,78,20.71219282,19.83643308,1040,94.03659867,chickpea,Short-term
42,67,77,18.99424448,15.9362937,1040,78.69707199,chickpea,Short-term
39,76,76,19.96837462,15.57324389,1040,69.15759062,chickpea,Short-term
35,63,76,17.81564548,17.60756635,1040,90.82097601,chickpea,Short-term
30,65,82,20.71424384,15.27824066,1040,76.77888672,chickpea,Short-term
57,56,78,17.34150229,18.75626255,1040,67.9545435,chickpea,Short-term
48,65,78,17.43732714,14.33847406,1040,73.0926704,chickpea,Short-term
36,56,83,18.89780215,19.76182946,1040,69.09512477,chickpea,Short-term
40,58,75,18.59190771,14.77959596,1040,89.60982451,chickpea,Short-term
49,69,82,18.31561493,15.36143547,1040,81.78710463,chickpea,Short-term
13,60,25,17.13692774,20.59541693,1024,128.256862,kidneybeans,Short-term
25,70,16,19.63474332,18.90705639,1024,106.3598183,kidneybeans,Short-term
31,55,22,22.91350245,21.33953114,1024,109.225556,kidneybeans,Short-term
40,64,16,16.43340342,24.24045875,1024,140.3717815,kidneybeans,Short-term
2,61,20,22.13974653,23.02251117,1024,76.64128258,kidneybeans,Short-term
26,65,22,17.84806561,18.77621951,900,143.0984171,kidneybeans,Short-term
17,57,21,19.88394011,20.31564139,900,60.91974792,kidneybeans,Short-term
26,80,18,19.32509638,23.3334788,910,104.7783947,kidneybeans,Short-term
17,59,17,18.4167001,23.42829938,910,132.9801054,kidneybeans,Short-term
27,59,22,21.81167649,23.20591245,910,130.0608093,kidneybeans,Short-term
28,58,24,19.72702528,18.28173015,920,143.7630894,kidneybeans,Short-term
25,57,19,17.15432954,19.87070659,900,87.99669731,kidneybeans,Short-term
28,80,17,19.62207826,18.67170854,910,144.1567454,kidneybeans,Short-term
25,60,22,21.63149148,21.17919701,910,134.3649948,kidneybeans,Short-term
12,78,23,16.06522754,18.72479695,910,88.06638775,kidneybeans,Short-term
6,77,25,20.61162204,24.36314135,910,69.63833855,kidneybeans,Short-term
22,79,17,21.42451099,20.39659714,910,116.5206923,kidneybeans,Short-term
27,80,15,19.07096165,21.21092266,900,86.21917578,kidneybeans,Short-term
10,55,23,21.18853178,19.63438599,900,137.1948633,kidneybeans,Short-term
23,65,20,23.0429097,22.42610972,900,108.3684316,kidneybeans,Short-term
19,78,16,20.65375833,23.10538637,900,67.71768947,kidneybeans,Short-term
19,65,25,18.09551014,18.29318436,900,144.7902323,kidneybeans,Short-term
22,70,19,18.23775702,21.07643273,900,69.44951585,kidneybeans,Short-term
37,64,22,17.48189735,18.8251973,900,121.9401369,kidneybeans,Short-term
11,71,17,19.9191786,21.47324158,900,82.68554379,kidneybeans,Short-term
18,79,20,20.27514686,23.2353604,900,139.7521543,kidneybeans,Short-term
21,63,17,15.77370214,19.2303162,900,108.3441414,kidneybeans,Short-term
24,80,22,16.71170642,19.17651433,900,96.77285817,kidneybeans,Short-term
34,60,22,17.66148158,18.15302753,930,100.6711761,kidneybeans,Short-term
16,75,21,18.50692825,23.61670065,930,87.0513289,kidneybeans,Short-term
17,77,23,24.51324787,20.81527638,930,64.19497947,kidneybeans,Short-term
37,72,18,18.87614998,24.54038287,930,105.4120514,kidneybeans,Short-term
40,73,20,21.59343016,20.31871249,930,61.13872036,kidneybeans,Short-term
9,77,17,20.12373284,24.45202552,930,106.158201,kidneybeans,Short-term
1,62,23,15.43546065,18.37477907,930,139.0302034,kidneybeans,Short-term
33,59,22,22.64236876,21.59396123,980,122.3886015,kidneybeans,Short-term
23,59,19,21.98560799,24.87304788,980,129.5650601,kidneybeans,Short-term
6,62,22,20.53052663,18.09224048,980,120.4509288,kidneybeans,Short-term
25,63,20,15.78601387,21.14544088,980,95.17028129,kidneybeans,Short-term
7,79,23,19.6365349,19.68751084,980,96.65888933,kidneybeans,Short-term
8,72,17,20.57341244,19.7520218,980,87.87869161,kidneybeans,Short-term
27,64,15,20.16080524,24.84207559,980,138.2362122,kidneybeans,Short-term
28,66,23,21.53989176,24.25386207,990,120.6913038,kidneybeans,Short-term
32,57,18,15.53834801,23.75560241,990,107.3850593,kidneybeans,Short-term
27,56,22,19.91853092,20.70099804,990,108.6434544,kidneybeans,Short-term
17,77,24,20.76952209,18.93146941,990,109.0193712,kidneybeans,Short-term
0,65,15,23.46168338,23.22197648,990,95.84253438,kidneybeans,Short-term
13,72,21,24.32116642,21.0278674,990,60.27552528,kidneybeans,Short-term
34,60,23,20.12574053,24.96969858,990,100.0497183,kidneybeans,Short-term
9,80,19,21.80619564,18.57086554,990,125.0972687,kidneybeans,Short-term
11,72,20,19.52226241,24.92607153,990,113.334026,kidneybeans,Short-term
3,67,24,17.00067625,19.90790546,990,103.2926407,kidneybeans,Short-term
35,69,23,16.78791503,24.96881755,990,75.45328039,kidneybeans,Short-term
3,77,25,24.84906168,22.89464642,990,62.21292186,kidneybeans,Short-term
23,62,19,16.51783455,20.4555596,990,98.77794225,kidneybeans,Short-term
22,71,17,18.15300153,19.38602098,995,107.6907964,kidneybeans,Short-term
31,79,25,23.18864385,22.3104551,995,63.38208822,kidneybeans,Short-term
34,59,18,23.38002569,21.98879437,995,87.66898664,kidneybeans,Short-term
12,63,17,18.358923,19.37703396,995,138.414764,kidneybeans,Short-term
27,56,20,19.25975367,20.51346956,995,94.9533526,kidneybeans,Short-term
7,63,24,22.95458237,24.03553105,995,107.7315386,kidneybeans,Short-term
24,67,22,20.120043,22.89845607,990,104.6252153,kidneybeans,Short-term
11,71,24,21.14011423,22.7182355,996,141.6056722,kidneybeans,Short-term
37,74,15,24.92360104,18.22590825,996,62.7089169,kidneybeans,Short-term
25,76,24,15.33042636,24.91506728,996,135.3315583,kidneybeans,Short-term
34,66,17,18.81097271,21.27833035,996,125.084915,kidneybeans,Short-term
20,69,15,23.44260668,22.77255917,996,107.4137246,kidneybeans,Short-term
37,65,16,22.8352024,18.97267518,996,63.59276673,kidneybeans,Short-term
18,74,15,24.9035819,22.27512704,996,146.4727237,kidneybeans,Short-term
4,67,25,23.78709569,24.35679348,996,119.6404412,kidneybeans,Short-term
37,56,25,22.05592283,19.60379304,996,126.7265372,kidneybeans,Short-term
5,59,15,18.87492997,20.18238348,996,134.1811718,kidneybeans,Short-term
11,61,21,18.62328774,23.02410338,996,135.3378033,kidneybeans,Short-term
22,80,20,23.00884744,18.86880997,996,100.118612,kidneybeans,Short-term
12,61,19,19.33162606,24.13995025,996,68.51253427,kidneybeans,Short-term
5,74,21,16.24469193,21.35793891,996,66.97053257,kidneybeans,Short-term
27,69,22,17.91652287,24.90814655,996,69.14681022,kidneybeans,Short-term
31,75,18,15.46789263,21.43780702,996,88.88796102,kidneybeans,Short-term
36,68,20,17.06104474,23.77201471,996,81.83420522,kidneybeans,Short-term
5,65,16,21.32776028,18.48522915,996,109.1013261,kidneybeans,Short-term
32,79,15,23.90910104,20.74619325,996,81.60211243,kidneybeans,Short-term
11,78,22,23.89756791,22.74378977,996,112.6616435,kidneybeans,Short-term
0,55,22,22.98666928,20.57940608,996,143.8584938,kidneybeans,Short-term
14,59,15,21.35135729,22.91244883,996,146.4548645,kidneybeans,Short-term
29,68,23,24.1638445,19.27907819,996,116.7324324,kidneybeans,Short-term
32,68,19,24.62835037,18.18325169,996,149.7441028,kidneybeans,Short-term
